pack_id,pack_name,093KT7ZK38_L,093KT7ZK38_M,093KT7ZK38_S,093KT7ZK38_XL,093KT7ZK38_XS,093KT7ZK38_XXS,0Z6K6Y21KR_L,0Z6K6Y21KR_M,0Z6K6Y21KR_S,0Z6K6Y21KR_XL,0Z6K6Y21KR_XS,0Z6K6Y21KR_XXS,1KZZ8PMFB1_L,1KZZ8PMFB1_M,1KZZ8PMFB1_S,1KZZ8PMFB1_XL,1KZZ8PMFB1_XS,1KZZ8PMFB1_XXL,1S7GY8JV18_L,1S7GY8JV18_M,1S7GY8JV18_S,1S7GY8JV18_XL,1S7GY8JV18_XS,1S7GY8JV18_XXL,20RE1NI7XN_L,20RE1NI7XN_M,20RE1NI7XN_S,20RE1NI7XN_XL,20RE1NI7XN_XS,20RE1NI7XN_XXL,29NEO5JDJT_L,29NEO5JDJT_M,29NEO5JDJT_S,29NEO5JDJT_XL,29NEO5JDJT_XS,29NEO5JDJT_XXL,50WUQDWI2V_L,50WUQDWI2V_M,50WUQDWI2V_S,50WUQDWI2V_XL,50WUQDWI2V_XS,50WUQDWI2V_XXS,83N1Y7P1Q5_L,83N1Y7P1Q5_M,83N1Y7P1Q5_S,83N1Y7P1Q5_XL,83N1Y7P1Q5_XS,83N1Y7P1Q5_XXL,8D2X9QGLQF_L,8D2X9QGLQF_M,8D2X9QGLQF_S,8D2X9QGLQF_XL,8D2X9QGLQF_XS,8D2X9QGLQF_XXL,8WVHOXLVJ2_L,8WVHOXLVJ2_M,8WVHOXLVJ2_S,8WVHOXLVJ2_XL,8WVHOXLVJ2_XS,8WVHOXLVJ2_XXS,ARCCMK4UZC_onesize,AU6KWT18AC_L,AU6KWT18AC_M,AU6KWT18AC_S,AU6KWT18AC_XL,AU6KWT18AC_XS,AU6KWT18AC_XXS,AVGFALJGZU_L,AVGFALJGZU_M,AVGFALJGZU_S,AVGFALJGZU_XL,AVGFALJGZU_XS,AVGFALJGZU_XXS,B5K8O3NA22_L,B5K8O3NA22_M,B5K8O3NA22_S,B5K8O3NA22_XL,B5K8O3NA22_XS,B5K8O3NA22_XXL,B5ZJF102L8_onesize,B8OG8GFQDG_L,B8OG8GFQDG_M,B8OG8GFQDG_S,B8OG8GFQDG_XL,B8OG8GFQDG_XS,B8OG8GFQDG_XXS,BH075SYWYT_L,BH075SYWYT_M,BH075SYWYT_S,BH075SYWYT_XL,BH075SYWYT_XS,BH075SYWYT_XXS,D9J7V1UG3B_L,D9J7V1UG3B_M,D9J7V1UG3B_S,D9J7V1UG3B_XL,D9J7V1UG3B_XS,D9J7V1UG3B_XXL,DVAZLH292T_L,DVAZLH292T_M,DVAZLH292T_S,DVAZLH292T_XL,DVAZLH292T_XS,DVAZLH292T_XXS,DY2XGBW1QT_L,DY2XGBW1QT_M,DY2XGBW1QT_S,DY2XGBW1QT_XL,DY2XGBW1QT_XS,DY2XGBW1QT_XXL,EC1T9WA177_L,EC1T9WA177_M,EC1T9WA177_S,EC1T9WA177_XL,EC1T9WA177_XS,EC1T9WA177_XXL,F58Y8I60TY_L,F58Y8I60TY_M,F58Y8I60TY_S,F58Y8I60TY_XL,F58Y8I60TY_XS,F58Y8I60TY_XXS,FBE5E6Q4S6_L,FBE5E6Q4S6_M,FBE5E6Q4S6_S,FBE5E6Q4S6_XL,FBE5E6Q4S6_XS,FBE5E6Q4S6_XXL,I8RO5VPQIV_L,I8RO5VPQIV_M,I8RO5VPQIV_S,I8RO5VPQIV_XL,I8RO5VPQIV_XS,I8RO5VPQIV_XXL,J7DERD76U8_onesize,KBG0WAZV9P_onesize,KBX5F1FCPW_onesize,KU65DK7JCX_L,KU65DK7JCX_M,KU65DK7JCX_S,KU65DK7JCX_XL,KU65DK7JCX_XS,KU65DK7JCX_XXS,KX2DPVZSC6_L,KX2DPVZSC6_M,KX2DPVZSC6_S,KX2DPVZSC6_XL,KX2DPVZSC6_XS,KX2DPVZSC6_XXL,LBQKVWQEL3_L,LBQKVWQEL3_M,LBQKVWQEL3_S,LBQKVWQEL3_XL,LBQKVWQEL3_XS,LBQKVWQEL3_XXS,LK5NB8UR9Y_L,LK5NB8UR9Y_M,LK5NB8UR9Y_S,LK5NB8UR9Y_XL,LK5NB8UR9Y_XS,LK5NB8UR9Y_XXL,LLP7L9LQTC_L,LLP7L9LQTC_M,LLP7L9LQTC_S,LLP7L9LQTC_XL,LLP7L9LQTC_XS,LLP7L9LQTC_XXL,LVTGQBBF4L_L,LVTGQBBF4L_M,LVTGQBBF4L_S,LVTGQBBF4L_XL,LVTGQBBF4L_XS,LVTGQBBF4L_XXL,MI29EELZW7_L,MI29EELZW7_M,MI29EELZW7_S,MI29EELZW7_XL,MI29EELZW7_XS,MI29EELZW7_XXS,OK2HOMDWXP_L,OK2HOMDWXP_M,OK2HOMDWXP_S,OK2HOMDWXP_XL,OK2HOMDWXP_XS,OK2HOMDWXP_XXS,PQ8JXR05Z9_L,PQ8JXR05Z9_M,PQ8JXR05Z9_S,PQ8JXR05Z9_XL,PQ8JXR05Z9_XS,PQ8JXR05Z9_XXL,PUZ9FHPM0L_L,PUZ9FHPM0L_M,PUZ9FHPM0L_S,PUZ9FHPM0L_XL,PUZ9FHPM0L_XS,PUZ9FHPM0L_XXL,Q1NB6EV307_L,Q1NB6EV307_M,Q1NB6EV307_S,Q1NB6EV307_XL,Q1NB6EV307_XS,Q1NB6EV307_XXL,QSCW4SWQBC_L,QSCW4SWQBC_M,QSCW4SWQBC_S,QSCW4SWQBC_XL,QSCW4SWQBC_XS,QSCW4SWQBC_XXL,R1GQQ0CSBL_L,R1GQQ0CSBL_M,R1GQQ0CSBL_S,R1GQQ0CSBL_XL,R1GQQ0CSBL_XS,R1GQQ0CSBL_XXL,SUSBYBGRMB_L,SUSBYBGRMB_M,SUSBYBGRMB_S,SUSBYBGRMB_XL,SUSBYBGRMB_XS,SUSBYBGRMB_XXL,TU089AL40Z_L,TU089AL40Z_M,TU089AL40Z_S,TU089AL40Z_XL,TU089AL40Z_XS,TU089AL40Z_XXS,UKDVICMCMI_L,UKDVICMCMI_M,UKDVICMCMI_S,UKDVICMCMI_XL,UKDVICMCMI_XS,UKDVICMCMI_XXS,UXS9I3EAGC_L,UXS9I3EAGC_M,UXS9I3EAGC_S,UXS9I3EAGC_XL,UXS9I3EAGC_XS,UXS9I3EAGC_XXS,V11O1XZ2MQ_L,V11O1XZ2MQ_M,V11O1XZ2MQ_S,V11O1XZ2MQ_XL,V11O1XZ2MQ_XS,V11O1XZ2MQ_XXS,WNRA980XXZ_L,WNRA980XXZ_M,WNRA980XXZ_S,WNRA980XXZ_XL,WNRA980XXZ_XS,WNRA980XXZ_XXL,WP8ED8R8U4_L,WP8ED8R8U4_M,WP8ED8R8U4_S,WP8ED8R8U4_XL,WP8ED8R8U4_XS,WP8ED8R8U4_XXL,YPGT13FQ9B_L,YPGT13FQ9B_M,YPGT13FQ9B_S,YPGT13FQ9B_XL,YPGT13FQ9B_XS,YPGT13FQ9B_XXS,ZKLSKKBEKZ_L,ZKLSKKBEKZ_M,ZKLSKKBEKZ_S,ZKLSKKBEKZ_XL,ZKLSKKBEKZ_XS,ZKLSKKBEKZ_XXS,ZOFDKNLVEN_L,ZOFDKNLVEN_M,ZOFDKNLVEN_S,ZOFDKNLVEN_XL,ZOFDKNLVEN_XS,ZOFDKNLVEN_XXL
P100,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_lvtgqbbf4l_l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P101,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_lvtgqbbf4l_s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P102,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_lvtgqbbf4l_xxl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P103,mut_mut_mut_mut_mut_mut_mut_mut_mut_single_mi29eelzw7_l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P104,mut_mut_mut_mut_mut_mut_mut_single_mi29eelzw7_m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P105,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_mi29eelzw7_s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P106,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_mi29eelzw7_xl,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P107,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_mi29eelzw7_xxs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P108,mut_mut_mut_mut_single_ok2homdwxp_l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P109,mut_mut_mut_mut_mut_mut_mut_mut_single_ok2homdwxp_s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P110,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_ok2homdwxp_xl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P111,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_ok2homdwxp_xs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P112,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_pq8jxr05z9_m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P113,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_pq8jxr05z9_s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
P114,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_pq8jxr05z9_xxl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P115,mut_mut_mut_mut_mut_mut_mut_single_puz9fhpm0l_l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P116,mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_mut_single_puz9fhpm0l_m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
